post_id,author,username,timestamp,statement,likes,reposts,replies,views,post_url,source,topic
2102292694378987723,Shakeel Khan Khattak,@ShakeelktkKhan,2026-09-22 07:03:31,"Indian women team score 216/3 against Sri Lanka for Gold Medal in Asian Games, its worthy to watch indian batters SR.. Not a single batter was under 100 SR.. That's what modern cricket demands from you #INDWvSLW #AsianGames",0,0,0,13,https://x.com/ShakeelktkKhan/status/2102292694378987723,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102292274164228200,starkeglobal,@starkeglobal,2026-09-22 07:01:51,"Smriti Mandhana steps up on the big stage yet again! Indian women's cricket team' vice-captain and one the most prolific batters, stepped up at the big stage yet again and slammed a 30-ball 50* against Sri Lanka in the ongoing final of the Women's Asian Games 2026.",0,0,0,1,https://x.com/starkeglobal/status/2102292274164228200,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291854809251972,Sports Apna,@sportsapna1,2026-09-22 07:00:11,"INDIA POSTS A MASSIVE 216! 🇮🇳🔥 A huge total on the board, and now India have a big chance to defend it and bring home their GOLD MEDAL at the Asian Games 2026! 🥇🏏",0,0,0,14,https://x.com/sportsapna1/status/2102291854809251972,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291834009751568,GTC NEWS,@gtcnewsonline,2026-09-22 07:00:06,"Asian Games 2026: Mandhana, Richa power India to 216/3 against Sri Lanka in women's cricket gold medal clash",0,0,0,17,https://x.com/gtcnewsonline/status/2102291834009751568,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291822580248915,CricHer,@Cricket__Her,2026-09-22 07:00:03,"🔥 4,000 UP FOR THIS PAIR! 🇮🇳 Smriti Mandhana & Shafali Verma become the first pair to reach 4,000 partnership runs in Women’s T20Is. Another milestone for India’s dynamic opening duo.",0,0,0,1,https://x.com/Cricket__Her/status/2102291822580248915,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291812920733753,Bharath Ramaraj,@Fancricket12,2026-09-22 07:00:01,"Indian women opt to bat and win the Asian Games Gold Medal. As expected, it looks like a no-contest. Although there are question marks over a certain captain's future.",9,0,2,167,https://x.com/Fancricket12/status/2102291812920733753,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291693760401496,Sony Sports Network,@SonySportsNetwk,2026-09-22 06:59:33,"Richa Ghosh clears the boundary ropes with effortless ease, powering India to a monstrous total in the Gold Medal Match! Watch Sri Lanka vs India, in the Women's Cricket Final at the 20th Asian Games Aichi-Nagoya, LIVE NOW",2,0,0,777,https://x.com/SonySportsNetwk/status/2102291693760401496,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102289887055757780,Republic,@republic,2026-09-22 06:52:22,India are closing in on their first gold medal of the 2026 Asian Games with a dominant display in the women's cricket final.,1,0,0,1931,https://x.com/republic/status/2102289887055757780,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102289704712565191,India.com,@indiacom,2026-09-22 06:51:38,"Indian vice-captain Smriti Mandhana scripted history during the Asian Games 2026 gold medal match against Sri Lanka by becoming the first batter in women’s cricket history to score 11,000 international runs.",0,0,0,81,https://x.com/indiacom/status/2102289704712565191,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102289421152497896,रामनिवास भाकर,@BhakarRN,2026-09-22 06:50:31,"India posted 216-3 in their 20 overs against Sri Lanka in the Asian Games final 🔥🏏 Smriti Mandhana, Shafali Verma, and Richa Ghosh starred with the bat for India.",0,0,0,44,https://x.com/BhakarRN/status/2102289421152497896,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102289130839560259,Kashif,@KashifNdmCric,2026-09-22 06:49:22,🚨India Women's set a massive target of 217 runs against Sri Lanka women's in Asian Games Gold Medal Match. Shafali Varma - 48 Smriti Mandhana - 79 Richa Gosh - 49,0,0,0,40,https://x.com/KashifNdmCric/status/2102289130839560259,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102285394255761659,Anand,@the_anandgoyal,2026-09-22 06:34:31,"What a final burst by Richa Ghosh. India Scored highest ever total of Asian games - 216/3. No one can stop India from winning the Gold now. Yay , First Gold of Asian games is here",3,0,0,110,https://x.com/the_anandgoyal/status/2102285394255761659,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102243488876433585,Vandana Kumar,@VandanaKumar14,2026-09-22 03:48:00,Very disappointing 3days so far at #AsianGames26 so far frm team india .consolation silver medals frm shooters aftr being in pole position.combat sports hv bn a failure except  good 🥉 frm suchita. men's TT perfo below par loosing to lowly ranked iran .all in all not good so far,1,0,0,25,https://x.com/VandanaKumar14/status/2102243488876433585,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2101892729747956052,Alok Sharma,@Imaloksharma77,2026-09-21 04:34:12,"Double PODIUM for INDIA! 🥈🥉 China took Gold, If we want to touch that 110 mark, it HAS TO BE Shooting + Athletics. Keep firing boys! 🇮🇳 Shooting = Goldmine of India. Double podium - kya baat hai!",2,0,0,105,https://x.com/Imaloksharma77/status/2101892729747956052,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2101675850642993533,CRICINFO BLUE,@cricinfoblue,2026-09-20 14:12:24,INDIA W  ARE THROUGH TO THE ASIAN GAMES 2026 FINAL. SHAFALI VERMA 💯 💥💥💥 Harmanpreet Kaur's team thrash Bangladesh by 114 runs in the semifinal,5,1,8,1455,https://x.com/cricinfoblue/status/2101675850642993533,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2101596156757512417,Sonu Jaat,@TheSonuJaat,2026-09-20 08:55:44,🚨INDIA HAVE ABSOLUTELY CRUSHED BANGLADESH BY 114 RUNS! 🇮🇳 A STATEMENT VICTORY! ONE WIN AWAY FROM HISTORIC GOLD! 🥇 INDIA vs SRI LANKA — GOLD MEDAL MATCH. 🔥,17,3,2,298,https://x.com/TheSonuJaat/status/2101596156757512417,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2101583641272893802,ZIMBU,@itsZimbuX,2026-09-20 08:06:00,India W win by 114 runs against Bangladesh W ! 🇮🇳🔥 Bangladesh got absolutely trashed today. India W qualify for the final and will face Sri Lanka W for the Gold Medal match. 🥇,14,0,0,1197,https://x.com/itsZimbuX/status/2101583641272893802,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2101649907115540919,IndiaTeamhub,@vivek23mishra,2026-09-20 12:29:19,🚨BREAKING NEWS 🚨 India secures a resounding victory thanks to Shafali Verma's explosive century. Team India books a spot in the Asian Games final in spectacular fashion.,4,0,2,2086,https://x.com/vivek23mishra/status/2101649907115540919,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102292603639361616,नागरिक,@Malay_21,2026-09-22 07:03:10,Vande Mataram being played before national anthem in India vs Japan match in Asian Games,0,0,1,91,https://x.com/Malay_21/status/2102292603639361616,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291810035126333,Rediff Sports,@rediffsports,2026-09-22 07:00:00,"Chetan Bhatt came agonisingly close to an #AsianGames karate medal. The Indian karateka’s men’s Kumite 84kg bronze playoff ended 1-1, but Chinese Taipei’s Meng-yu Chung took the medal under the Senshu rule after scoring the bout’s first point.",0,0,0,6,https://x.com/rediffsports/status/2102291810035126333,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102291392307577336,khel live,@khellive91,2026-09-22 06:58:21,Asian Games 2026 - FINAL India Women vs Sri Lanka Women Sri Lanka: 22/1 (3 Overs) Target: 217,0,0,0,1,https://x.com/khellive91/status/2102291392307577336,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102292219587916005,News7 Tamil Sports,@News7Tam_sports,2026-09-22 07:01:38,இலங்கைக்கு 217 ரன்கள் இலக்கு! #AsianGames | #INDvSL | #SLvIND | #India | #SriLanka | #Cricket,0,1,0,51,https://x.com/News7Tam_sports/status/2102292219587916005,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
2102032156675744169,iyerraman75,@iyerraman75,2026-09-21 13:48:14,"Sindhu vs Yamaguchi Yamaguchi 80% Sindhi 20% (Gold 🥇Cricket,Kabaddi) Last Asian games India no.5. if india rank the same ""masterstroke"" First 3 places reserved. A nation max medals must perform good in swimming, gymnastics- india weak in this.",0,0,0,23,https://x.com/iyerraman75/status/2102032156675744169,X (Twitter),India Asian Games 2026 / Women's Cricket Final / Medals
