platform,source_id,source_url,source_title_or_caption,author_or_channel,sport,event_name,source_timestamp,records_collected
Instagram,@bcciwomen,https://www.instagram.com/bcciwomen/,,@bcciwomen,Cricket,India women’s cricket / Asian Games 2026,,0
Instagram,@icc,https://www.instagram.com/icc/,,@icc,Cricket,India women’s cricket / Asian Games 2026,,0
Instagram,@harmanpreetkaur,https://www.instagram.com/harmanpreetkaur/,,@harmanpreetkaur,Cricket,India women’s cricket / Asian Games 2026,,0
Instagram,@indiancricketteam,https://www.instagram.com/indiancricketteam/,,@indiancricketteam,Cricket,India women’s cricket / Asian Games 2026,,0
X,2102314505049079943,https://x.com/PMOIndia/status/2102314505049079943,"A splendid triumph for Indian cricket!

Heartiest congratulations to our Women’s Cricket Team on winning the Gold medal at the Asian Games. It was a commanding performance at the Games, marked by confidence, skill and wonderful teamwork.

This victory also brings India its first Gold of this edition of the Games. The team has made the nation proud and will inspire countless young cricketers across the country.

Best wishes to the entire squad: PM @narendramodi",@PMOIndia,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 08:30:11 UTC,1
X,2102309647713738986,https://x.com/rajnathsingh/status/2102309647713738986,"An exceptional game of cricket and an outstanding result! 

Proud of our Indian women cricket team for winning the first Gold Medal at the Asian Games 2026. They have played wonderfully through the Games. Such an impressive display of skill and teamwork. Congratulations to our team for the splendid victory and scripting a new cricketing history at the Asian Games.",@rajnathsingh,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 08:10:53 UTC,1
X,2102255928657731772,https://x.com/IndiaSportsHub/status/2102255928657731772,"India wins toss, opts to bat first in women's cricket gold medal match against Sri Lanka #AsianGames",@IndiaSportsHub,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 04:37:26 UTC,1
X,2102276728353648952,https://x.com/OlympicKhel/status/2102276728353648952,"Cheering for Team India at #AichiNagoya2026 🇮🇳🏏

Indian fans have gathered to support women's cricket team for their gold medal match against Sri Lanka in #AsianGames. 👏",@OlympicKhel,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 06:00:05 UTC,1
X,2102258544414470350,https://x.com/thebharatarmy/status/2102258544414470350,"Toss Update 🪙🇮🇳

India win the toss and elect to bat first against Sri Lanka in the Asian Games Women’s Cricket final. 🏏

The gold medal clash is underway! 🥇🔥",@thebharatarmy,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 04:47:49 UTC,1
X,2102305594715881722,https://x.com/BCCIWomen/status/2102305594715881722,"Back-to-back 𝗚𝗢𝗟𝗗 𝗠𝗘𝗗𝗔𝗟𝗟𝗜𝗦𝗧𝗦 🏅

Congratulations to #TeamIndia on clinching a 2️⃣nd consecutive Gold Medal in women's cricket at the #AsianGames 🇮🇳👏

Scorecard ▶️ https://www.bcci.tv/matches/d3c75d45-2022-444a-b41e-55372ed319f8/sri-lanka-women-vs-india-women",@BCCIWomen,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 07:54:47 UTC,1
X,2102262048318988786,https://x.com/OneSportsPHL/status/2102262048318988786,"Asian Games Team Philippines results | Sept 22

🥉🥋 Karate | Women's kata team gets bronze, third for 🇵🇭
🏊 Swimming | Sanchez, White, Santos, Chua qualify for finals
🏀 3x3 | Gilas Women wins vs Mongolia
🤸 Gymnastics | Ruivivar, Kvamme, Garcia in contention by end of Subdivision 1
🥊 Boxing | Villegas bows out early

#LakasNgPilipino #AsianGames #AichiNagoya2026

https://www.onesports.ph/story/?q=6aabde66bd749d0002043da8",@OneSportsPHL,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),2026-09-22 05:01:45 UTC,1
YouTube,QEiPeEoches,https://www.youtube.com/watch?v=QEiPeEoches,IND vs SL LIVE: Women’s Cricket Final | Asian Games Gold Clash | Asian Games 2026 LIVE | NewsX 2026-09-22 14:24,NewsX Live,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,h220hklYL6U,https://www.youtube.com/watch?v=h220hklYL6U,India Women vs Sri Lanka Women Asian Games Final Match Full Highlights 2026,NaatProduction1292,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,12
YouTube,_bMc6-PZhYk,https://www.youtube.com/watch?v=_bMc6-PZhYk,India vs Sri Lanka Highlights | Women's Final Asian Games 2026 | Mandhana 79 & Ghosh Fireworks,BD VoicE,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,57
YouTube,aNGQYemw4T0,https://www.youtube.com/watch?v=aNGQYemw4T0,Final Full Highlights India vs Sri Lanka Women  Asian Games 2026 || ind vs sl final 2026,Cricket Dream,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,1
YouTube,oRPJG-45qhY,https://www.youtube.com/watch?v=oRPJG-45qhY,Asian Games 2026 LIVE: India Women vs Sri Lanka Women Final | Gold Medal Match | IND-W vs SL-W 2026-09-22 14:24,Cricit,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
YouTube,M3ovG9tQ17Y,https://www.youtube.com/watch?v=M3ovG9tQ17Y,Asian Games 2026: GOLD Medal For INDIA! #TeamIndia defeat Sri Lanka by 147 runs | Doordarshan Sports,Prasar Bharati Sports,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,6
YouTube,MQOVJ9Ej6xQ,https://www.youtube.com/watch?v=MQOVJ9Ej6xQ,Indian Women's vs Sri Lankan Women's Final Match Highlights Asian Games 2026 Today.,Top Breaking News 0.2,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,7
YouTube,ZyGYCRJM28U,https://www.youtube.com/watch?v=ZyGYCRJM28U,India Women vs Sri Lanka Women Final Match Highlights 2026 | Women's Asian Games 2026 | IND-W vs SL,Shah G Video,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,16
YouTube,D6q5sMrPWKk,https://www.youtube.com/watch?v=D6q5sMrPWKk,"India vs Sri Lanka Women Asian games Final Highlights 2026,IND W vs SL W Final Highlights",Cricket Watchers,Cricket,India vs Sri Lanka (2026 Asian Games Women’s Cricket Final),20260922,0
