reaction_id,event_name,sport,event_date,video_title,video_id,video_url,channel_name,channel_id,comment_id,comment_url,comment_text,comment_author,comment_published_at,like_count,reply_count
YT2000001,"Afghanistan vs India (2026 T20I Series, Match 3)",Cricket,,Match Highlights | Afghanistan vs India | Match 03 | T20I Series 2026 | ACB | M9N1J,CJU-fIbr8Vk,https://www.youtube.com/watch?v=CJU-fIbr8Vk,Sports Central by DRM,UC-fzWbU1zavz77kP1gPPdSg,UgyHjG78zOeiWGHuY594AaABAg,https://www.youtube.com/watch?v=CJU-fIbr8Vk&lc=UgyHjG78zOeiWGHuY594AaABAg,Ravi bishnoi On the Fire 🎉,@MdSifatUllah-r3l6o,2026-09-21T00:00:00Z,0,
YT2000002,Carlos Alcaraz vs Jannik Sinner (2026 Monte-Carlo Final),Tennis,,Carlos Alcaraz vs Jannik Sinner FIRST Final of 2026 🔥 | Monte-Carlo 2026 Final Highlights,dQUKOY8D3IE,https://www.youtube.com/watch?v=dQUKOY8D3IE,Tennis TV,UCbcxFkd6B9xUU54InHv4Tig,Ugxv3PudAwY9HjpTjnF4AaABAg,https://www.youtube.com/watch?v=dQUKOY8D3IE&lc=Ugxv3PudAwY9HjpTjnF4AaABAg,Painful seeing Carlita lose,@KevinHenderson-r4v,2026-09-02T00:00:00Z,1,
YT2000003,2026 Australian Grand Prix,Formula 1,2026-03-08,Fans React to the 2026 Australian Grand Prix,uvMholf0zLI,https://www.youtube.com/watch?v=uvMholf0zLI,Kr1s,UCz-llHGeBJB06SA6g-Q_JKA,UgzdOk1B2QB6E9zNoix4AaABAg,https://www.youtube.com/watch?v=uvMholf0zLI&lc=UgzdOk1B2QB6E9zNoix4AaABAg,3:36 aged like milk,@PixelWatchesYoutube,2026-09-09T00:00:00Z,0,
YT2000004,Indiana Fever vs Toronto Tempo (2026 WNBA),Basketball,2026-09-18,"Indiana Fever vs. Toronto Tempo | FULL GAME HIGHLIGHTS | September 18, 2026",3ncxZOQBJBU,https://www.youtube.com/watch?v=3ncxZOQBJBU,WNBA,UCO9a_ryN_l7DIDS-VIt-zmw,UgyNpoPFlPS4sgwJwYR4AaABAg,https://www.youtube.com/watch?v=3ncxZOQBJBU&lc=UgyNpoPFlPS4sgwJwYR4AaABAg,Fever need to fire all the coaching staff starting with Stephanie White and also the General manager,@rogergonzalez7386,2026-09-22T00:00:00Z,0,
YT2000005,2026 European Athletics Championships Day 1,Athletics,,Day One Highlights | Birmingham 2026 European Athletics Championships,HBzZeY_kr_4,https://www.youtube.com/watch?v=HBzZeY_kr_4,European Athletics,UCp21zu_8Hd0w9HULooemRCA,UgyTeQfz0SX7jv1NdN14AaABAg,https://www.youtube.com/watch?v=HBzZeY_kr_4&lc=UgyTeQfz0SX7jv1NdN14AaABAg,jakob running past the finish line like he still had another lap left in him during these birmingham 2026 highlights is actually wild,@LiorettaEastmereMusic,2026-09-17T00:00:00Z,0,
YT2000006,Alex Lanier vs Kunlavut Vitidsarn (2026 BWF World Championships),Badminton,,Alex Lanier vs Kunlavut Vitidsarn | Pressure points and momentum swings,06FN__FMaUc,https://www.youtube.com/watch?v=06FN__FMaUc,BWF TV,UChh-akEbUM8_6ghGVnJd6cQ,Ugz2dT7-ZZI8I35VoSZ4AaABAg,https://www.youtube.com/watch?v=06FN__FMaUc&lc=Ugz2dT7-ZZI8I35VoSZ4AaABAg,2:47 hasil challengging nya kok nggk dinampakkan???,@HK-710,2026-09-12T00:00:00Z,0,
YT2000007,2026 Stanley Cup Final,Hockey,,Best Goals from the 2026 Stanley Cup Final,E4UXPDyRwgQ,https://www.youtube.com/watch?v=E4UXPDyRwgQ,NHL,UCqFMzb-4AUf6WAIbl132QKA,UgzihtpxxO_q_T3q4GJ4AaABAg,https://www.youtube.com/watch?v=E4UXPDyRwgQ&lc=UgzihtpxxO_q_T3q4GJ4AaABAg,Holayyyy 🎉,@JesseBrittain-n5h,2026-06-23T00:00:00Z,0,
YT2000008,Abdullah Mason vs Ornelas (2026 Boxing),Boxing,,Abdullah Mason DROPS Ornelas Repeatedly in Brutal Win,d6A3cVkIKGc,https://www.youtube.com/watch?v=d6A3cVkIKGc,Top Rank Boxing,UCbzRzJNHx7ZLlJML9BjZQVQ,Ugz_wlJZJBWpwybWTm54AaABAg,https://www.youtube.com/watch?v=d6A3cVkIKGc&lc=Ugz_wlJZJBWpwybWTm54AaABAg,☝️💕🙏 Allah be with you bro,@kwameasuo-l8e8y,2026-09-22T13:41:00Z,0,
YT2000009,Amru Magomedov vs Angel Alvarez (2026 PFL New York),MMA,,A DESTRUCTIVE DISPLAY! | Amru Magomedov v Angel Alvarez - Fight Highlights | PFL New York,MazPHXIWMVk,https://www.youtube.com/watch?v=MazPHXIWMVk,PFL MMA,UCPrONRG9hO1f-OrxW-WH-xg,UgzbdZx-wV-FBaEGyKt4AaABAg,https://www.youtube.com/watch?v=MazPHXIWMVk&lc=UgzbdZx-wV-FBaEGyKt4AaABAg,New champ is coming.,@zakirsin,2026-09-10T00:00:00Z,0,
YT2000010,2026 Biltmore Championship,Golf,,PGA Tour Highlights | Final Round | Biltmore Championship | 2026,SwVHCOFT7Wc,https://www.youtube.com/watch?v=SwVHCOFT7Wc,PGA Tour,UCKwGZZMrhNYKzucCtTPY2Nw,Ugww5TMwDTMaUp94wsB4AaABAg,https://www.youtube.com/watch?v=SwVHCOFT7Wc&lc=Ugww5TMwDTMaUp94wsB4AaABAg,"I prefer these ""easier"" courses, so much more movement on the leaderboard",@bm6026,2026-09-22T00:00:00Z,0,
