record_id,source,author,title,text,url,lang,created_at_utc,collected_at_utc,arc,scope,engagement_reblogs,engagement_favourites,engagement_replies,engagement_points,engagement_comments,sweep_id,sweep_mode
mastodon:117301121291575241,mastodon,Mathrubhumi_English,,"Asian Games 2026 India schedule for September 20: Check cricket, hockey, shooting, badminton, table tennis and other events and timings. https:// english.mathrubhumi.com/sports /news/asian-games-2026-india-schedule-today-september-20-cupnvp5h?utm_source=dlvr.it&amp;utm_medium=mastodon # AsianGames2026 # IndiaAtAsianGames # AsianGamesSchedule",https://mastodon.social/@Mathrubhumi_English/117301121291575241,en,2026-09-20T02:57:46Z,2026-09-20T04:51:45Z,live,india,0,1,0,,,20260920T045143Z,live
mastodon:117301438488075163,mastodon,Mathrubhumi_English,,"Malayali shooter Vidarsa K Vinod won a silver medal in shooting at the Asian Games, adding to India’s medal tally https:// english.mathrubhumi.com/sports /news/vidarsa-k-vinod-silver-asian-games-shooting-team-event-pjweub14?utm_source=dlvr.it&amp;utm_medium=mastodon # AsianGames # VidarsaKVinod # Shooting # SilverMedal # MalayaliShooter",https://mastodon.social/@Mathrubhumi_English/117301438488075163,en,2026-09-20T04:18:26Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117301275578258673,mastodon,thejapantimes,,Takumi Hojo got host nation Japan off to a perfect start when he won the first gold medal of the Asian Games on Sunday in the men&#39;s individual triathlon. https://www. japantimes.co.jp/sports/2026/0 9/20/more-sports/takumi-hojo-asian-games-gold/?utm_medium=Social&amp;utm_source=mastodon # moresports # takumihojo # asiangames # teamjapan,https://mastodon.social/@thejapantimes/117301275578258673,en,2026-09-20T03:37:00Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117301266649438137,mastodon,justpaste,,"Gilas ready for Asian Games defense with 11 players if Brownlee stays sidelined Gilas Pilipinas head coach Tim Cone says Justin Brownlee, the hero of the 2023 championship squad, has yet to confirm his participation for the upcoming Asian Games https:// justpaste.in/news/philippines- ready-asian-games-title-defense-justin-brownlee-sidelined/ # Asianbasketball # AsianGames # JustinBrownlee # Philippinebasketball # EditorsPick",https://mastodon.social/@justpaste/117301266649438137,en,2026-09-20T03:34:44Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117301259426427663,mastodon,in.mashable.com@web.brid.gy,,India Vs Japan T20I: Why Team India Will Wear BCCI Jersey Instead Of Asian Games Kit https:// fed.brid.gy/r/https://in.masha ble.com/sports/114099/india-vs-japan-t20i-why-team-india-will-wear-bcci-jersey-instead-of-asian-games-kit,https://fed.brid.gy/r/https://in.mashable.com/sports/114099/india-vs-japan-t20i-why-team-india-will-wear-bcci-jersey-instead-of-asian-games-kit,en,2026-09-19T21:49:59Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117301257508926096,mastodon,in.mashable.com@web.brid.gy,,Asian Games 2026: Five-Time Champion Shigenobu Murofushi And Son Koji Light Cauldron https:// fed.brid.gy/r/https://in.masha ble.com/sports/114100/asian-games-2026-five-time-champion-shigenobu-murofushi-and-son-koji-light-cauldron,https://fed.brid.gy/r/https://in.mashable.com/sports/114100/asian-games-2026-five-time-champion-shigenobu-murofushi-and-son-koji-light-cauldron,en,2026-09-19T22:06:50Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117300027127990548,mastodon,justpaste,,"Cone, Gilas bank on speed as all-PBA crew out to defend Asian Games title ‘From what I’ve seen from that team, they’re a lot of fun to watch,’ says Tim Cone, who envisions a fast-paced game as Gilas Pilipinas parades a rejigged roster for the Asian Games https:// justpaste.in/news/tim-cone-spe ed-all-pba-team-asian-games-title-defense/ # Asianbasketball # AsianGames # Philippinebasketball # GilasPilipinas # cone",https://mastodon.social/@justpaste/117300027127990548,en,2026-09-19T22:19:31Z,2026-09-20T04:51:48Z,live,india,0,0,0,,,20260920T045143Z,live
mastodon:117301484518762178,mastodon,nyt_sports@robot.villas,,Japan has always loved baseball. Is it now falling for cricket? https://www.nytimes.com/athletic/7607669/2026/09/20/japan-india-cricket/ # Sports # Cricket # Japan,https://www.nytimes.com/athletic/7607669/2026/09/20/japan-india-cricket/,,2026-09-20T04:30:08Z,2026-09-20T04:51:52Z,live,india,3,0,0,,,20260920T045143Z,live
gnews:597a13f5d11151f5,gnews,Cricbuzz,"JPNW vs INDW, 4th Quarter Final, Women's Asian Games 2026 - Live Stream - Cricbuzz","JPNW vs INDW, 4th Quarter Final, Women's Asian Games 2026 - Live Stream &nbsp;&nbsp; Cricbuzz",https://news.google.com/rss/articles/CBMiqgFBVV95cUxOUWkzLURzNTZXbGFMTHZna2hGcFlxa1llcXFMTUZacjBkTWJ3Z0hfUFFvUEtfN0hqMlVBajVjNWhnYWRTZ20wN0dWb1hPUVQyQVlFVE9YVWprUDBqMEtSUmdsajBtQ3Frd2g0MjhVNWhEeE96OGZEUE0xZmoxZTlHVzJvSmFkalJTYkY0WlFhczM0T1dYMGNQWWVoWkhWWXl4MEdWRndLdHY3dw?oc=5,,2026-09-20T02:16:23Z,2026-09-20T04:51:56Z,live,india,,,,,,20260920T045143Z,live
gnews:4d9f631868a65534,gnews,The Times of India,"IND vs BAN Live Score, Women's Asian Games Semi Final: Harmanpreet Kaur wins the toss, India choose to bat first - The Times of India","IND vs BAN Live Score, Women's Asian Games Semi Final: Harmanpreet Kaur wins the toss, India choose to bat first &nbsp;&nbsp; The Times of India",https://news.google.com/rss/articles/CBMiwAJBVV95cUxOVFVGaUZ3dTB5THRaNW4ySlFyQzJhalFiSUlGaUEwSXlHZG8yemFmS2hwQlphckMtM0toWFZ5Q1VDeFB5U0t3TzhFVlVQSkhBbUpYOXN1WG9fYldJNnBTTTJNTzd1Q1VTSWdNV215cGg3MmRkb2oxdXpYRTNRNTY4SHRjWm9jQ2pNb3Q3NXhlWUFBT2xwVk01WmpVNmhreXpqTG9IbWl4ak1mR0U2S3FGTHhFLV9TcWxXQU5MM1RwcFZFSXhWRXdEZlBJdm94X2IxU2t4bXA3NFFyTENXeGZFWThhRDBsNzdnZFhVZ2dNNlhYTWJFb09GOUZ3TVN0R292SVhRRmRIbjVyZkRLelpaTlp2U2FJWkxwOGs1LWh6dWVXR0dMMzdZZW1ZallVdWZlZ2d0bXNiaEtqT3o2eXZ1TtIBxgJBVV95cUxOQW9SMGQ1TjZGd3JuaUdyUU5ISmlNMF92dGFjRTRocjYyMmlpMFRMMWlmQTlUOF9ZRm5MLTAySzUzV2ZuQ29tbHpjeWFuRTBZWGpQd2NfVVgzZ2FIbTUyVnU5QnYzcTM0eHBudU5EZ1BPWGlzSXhzVEJVb0VaNHR3bFg2UFhIXzB0VVlNZlFKY1pKaThvYkg4MGg0Wk5MOHU3d0liZUpCNGRLS2pxRkpnNzJaOVNuaWpmbHpYanlXYnIwdTBHTUFiM2tPN2tpVWV0Y1hPYjZWWTZOV2RQMUM0dUw5OTJsX3I2emNJM1htQ0d0S2F2MFJLZUl1ZExaOUNzVUlFN1N0UXRJaU44X050UVRQVGQtSndUWU00ZjVVazJEM1ZLNG1TYzNsckhLTktwR0loUzhfSjdUVk5LUEJVWl9UQ2kzQQ?oc=5,,2026-09-20T04:40:45Z,2026-09-20T04:51:56Z,live,india,,,,,,20260920T045143Z,live
